Start coordinate search:
Starting position: (1, 1, 1) with performance: 28799 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7442 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6524 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 256, 1) with performance: 6056 ms
Neighbor size: 7
tile size (t1, t2, t3): (2, 256, 1) with performance: 5943 ms
Neighbor size: 8
tile size (t1, t2, t3): (2, 256, 2) with performance: 5836 ms
Neighbor size: 9
coordinate search took 566470 milliseconds to converge.
Best tile sizes: (2, 256, 2) with performance: 5836 ms
Start exhaustive search:
256 64 512 6301
256 128 1 6548
256 128 2 6092
256 128 4 6010
256 128 8 6150
256 128 16 5992
256 128 32 6145
256 128 64 6210
256 128 128 6226
256 128 256 6300
256 128 512 6404
256 256 1 6097
256 256 2 5884
256 256 4 6003
256 256 8 6079
256 256 16 6068
256 256 32 6003
256 256 64 6107
256 256 128 6128
256 256 256 6193
256 256 512 6252
256 512 1 6027
256 512 2 6165
256 512 4 6165
256 512 8 6223
256 512 16 6219
256 512 32 6082
256 512 64 6089
256 512 128 6217
256 512 256 6193
256 512 512 6290
512 1 1 23194
512 1 2 18281
512 1 4 15516
512 1 8 14227
512 1 16 13704
512 1 32 13368
512 1 64 13185
512 1 128 13062
512 1 256 13003
512 1 512 12984
512 2 1 12965
512 2 2 10744
512 2 4 9581
512 2 8 9678
512 2 16 9275
512 2 32 9130
512 2 64 9055
512 2 128 9061
512 2 256 8959
512 2 512 8829
512 4 1 9046
512 4 2 8581
512 4 4 7950
512 4 8 8006
512 4 16 7569
512 4 32 7558
512 4 64 7552
512 4 128 7622
512 4 256 7701
512 4 512 7712
512 8 1 7766
512 8 2 7446
512 8 4 7252
512 8 8 7323
512 8 16 7240
512 8 32 7195
512 8 64 7060
512 8 128 7116
512 8 256 6975
512 8 512 7131
512 16 1 7220
512 16 2 6963
512 16 4 6815
512 16 8 6811
512 16 16 6819
512 16 32 6662
512 16 64 6624
512 16 128 6652
512 16 256 6686
512 16 512 6754
512 32 1 6913
512 32 2 6359
512 32 4 6361
512 32 8 6410
512 32 16 6418
512 32 32 6234
512 32 64 6284
512 32 128 6375
512 32 256 6424
512 32 512 6516
512 64 1 6659
512 64 2 6148
512 64 4 6290
512 64 8 6326
512 64 16 6315
512 64 32 6100
512 64 64 6098
512 64 128 6162
512 64 256 6256
512 64 512 6352
512 128 1 6336
512 128 2 6106
512 128 4 6001
512 128 8 6299
512 128 16 6022
512 128 32 6098
512 128 64 6088
512 128 128 6291
512 128 256 6177
512 128 512 6314
512 256 1 6218
512 256 2 5905
512 256 4 5972
512 256 8 6143
512 256 16 6136
512 256 32 6058
512 256 64 6212
512 256 128 6157
512 256 256 6188
512 256 512 6346
512 512 1 6246
512 512 2 6120
512 512 4 6231
512 512 8 6283
512 512 16 6191
512 512 32 6213
512 512 64 6163
512 512 128 6187
512 512 256 6141
512 512 512 6276
exhaustive search took 7739713 milliseconds to converge.
Best tile sizes: (4, 256, 2) with performance: 5730 ms
