Mon Oct 28 03:21:57 AM EDT 2024
Execution time of cholesky_naive: 2233.14 ms
Execution time of cholesky_tiled: 1818.52 ms
Outputs of cholesky_naive and cholesky_tiled are the same.
Execution time of cholesky_naive: 2185.75 ms
Execution time of cholesky_pluto (32,32,32,32): 1790 ms
Starting position: (1, 1, 1, 1) with performance: 1827 ms
Neighbor size: 4
Neighbor size: 5
Coordinate Descent completed in 22352.8 ms
Best tile sizes from Coordinate Descent: t2=1, t3=1, t4=1, t5=2
Best performance from Coordinate Descent: 1766 ms
Starting Exhaustive Search...
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 4): 1755 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 8): 1839 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 16): 1886 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 32): 1794 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 64): 1855 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 128): 1813 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 256): 1782 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 1): 1791 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 2): 1792 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 4): 1832 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 8): 1782 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 16): 1782 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 32): 1829 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 64): 1848 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 128): 1857 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 2, 256): 1756 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 1): 1731 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 2): 1765 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 4): 1824 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 8): 1744 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 16): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 32): 1851 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 64): 1787 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 128): 1789 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 4, 256): 1778 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 1): 1913 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 2): 1811 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 4): 1815 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 8): 1763 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 16): 1884 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 32): 1854 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 64): 1842 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 128): 1793 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 8, 256): 1779 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 1): 1798 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 2): 1848 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 4): 1787 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 8): 1817 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 16): 1776 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 32): 1834 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 64): 1852 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 128): 1789 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 16, 256): 1808 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 1): 1773 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 2): 1853 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 4): 1792 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 8): 1805 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 16): 1795 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 32): 1740 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 64): 1874 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 128): 1851 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 32, 256): 1891 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 1): 1787 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 2): 1783 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 4): 1946 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 8): 1778 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 16): 1816 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 32): 1825 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 64): 1758 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 128): 1814 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 64, 256): 1879 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 1): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 2): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 4): 1770 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 8): 1784 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 16): 1777 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 32): 1776 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 64): 1782 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 128): 1776 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 128, 256): 1785 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 1): 1860 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 2): 1717 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 4): 1839 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 8): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 16): 1847 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 32): 1843 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 64): 1799 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 128): 1809 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 256, 256): 1838 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 1): 1749 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 2): 1852 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 4): 1774 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 8): 1863 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 16): 1804 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 32): 1888 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 64): 1835 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 128): 1795 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 1, 256): 1874 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 1): 1801 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 2): 1762 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 4): 1764 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 8): 1818 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 16): 1825 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 32): 1753 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 64): 1769 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 128): 1807 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 2, 256): 1823 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 1): 1771 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 2): 1832 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 4): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 8): 1805 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 16): 1819 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 32): 1853 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 64): 1872 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 128): 1782 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 4, 256): 1815 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 1): 1757 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 2): 1871 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 4): 1779 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 8): 1783 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 16): 1799 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 32): 1800 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 64): 1802 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 128): 1838 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 8, 256): 1860 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 1): 1759 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 2): 1808 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 4): 1783 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 8): 1813 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 16): 1766 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 32): 1790 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 64): 1780 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 128): 1771 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 16, 256): 1788 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 1): 1795 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 2): 1787 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 4): 1791 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 8): 1807 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 16): 1741 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 32): 1777 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 64): 1821 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 128): 1772 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 32, 256): 1792 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 1): 1805 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 2): 1831 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 4): 1750 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 8): 1788 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 16): 1790 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 32): 1788 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 64): 1795 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 128): 1822 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 64, 256): 1811 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 1): 1875 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 2): 1875 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 4): 1739 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 8): 1780 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 16): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 32): 1777 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 8, 128, 64): 1762 ms
