Start coordinate search:
Starting position: (1, 1, 1) with performance: 5743 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1213 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 474 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 391 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 64, 1) with performance: 368 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 256, 1) with performance: 363 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 361 ms
Neighbor size: 8
coordinate search took 102679 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 361 ms
Start exhaustive search:
512 2 2 1587
512 2 4 1389
512 2 8 1330
512 2 16 1662
512 2 32 1859
512 2 64 2282
512 2 128 2455
512 2 256 2530
512 2 512 2577
512 4 1 1316
512 4 2 1300
512 4 4 1414
512 4 8 1846
512 4 16 1949
512 4 32 2504
512 4 64 2866
512 4 128 3056
512 4 256 3141
512 4 512 3182
512 8 1 559
512 8 2 519
512 8 4 513
512 8 8 642
512 8 16 720
512 8 32 878
512 8 64 985
512 8 128 1048
512 8 256 1072
512 8 512 1086
512 16 1 435
512 16 2 406
512 16 4 412
512 16 8 437
512 16 16 491
512 16 32 525
512 16 64 542
512 16 128 555
512 16 256 559
512 16 512 564
512 32 1 382
512 32 2 392
512 32 4 373
512 32 8 375
512 32 16 376
512 32 32 377
512 32 64 380
512 32 128 380
512 32 256 383
512 32 512 383
512 64 1 367
512 64 2 373
512 64 4 365
512 64 8 365
512 64 16 365
512 64 32 367
512 64 64 366
512 64 128 366
512 64 256 367
512 64 512 367
512 128 1 364
512 128 2 368
512 128 4 363
512 128 8 362
512 128 16 365
512 128 32 364
512 128 64 363
512 128 128 364
512 128 256 364
512 128 512 363
512 256 1 362
512 256 2 364
512 256 4 361
512 256 8 363
512 256 16 362
