Start coordinate search:
Starting position: (1, 1, 1) with performance: 5506 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 899 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 16, 1) with performance: 476 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 389 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 368 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 85489 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
256 512 64 362
256 512 128 362
256 512 256 362
256 512 512 363
512 1 1 3224
512 1 2 2421
512 1 4 1821
512 1 8 1937
512 1 16 2397
512 1 32 3044
512 1 64 3793
512 1 128 4515
512 1 256 4848
512 1 512 5028
512 2 1 1981
512 2 2 1537
512 2 4 1426
512 2 8 1345
512 2 16 1641
512 2 32 1833
512 2 64 2269
512 2 128 2456
512 2 256 2533
512 2 512 2582
512 4 1 1120
512 4 2 1133
512 4 4 1447
512 4 8 1646
512 4 16 1735
512 4 32 1769
512 4 64 1783
512 4 128 1797
512 4 256 1802
512 4 512 1805
512 8 1 567
512 8 2 516
512 8 4 533
512 8 8 655
512 8 16 726
512 8 32 883
512 8 64 988
512 8 128 1050
512 8 256 1074
512 8 512 1089
512 16 1 438
512 16 2 410
512 16 4 426
512 16 8 438
512 16 16 495
512 16 32 528
512 16 64 545
512 16 128 558
512 16 256 562
512 16 512 567
512 32 1 393
512 32 2 394
512 32 4 375
512 32 8 376
512 32 16 377
512 32 32 379
512 32 64 382
512 32 128 382
512 32 256 383
512 32 512 383
512 64 1 369
512 64 2 374
512 64 4 367
512 64 8 366
512 64 16 366
512 64 32 368
512 64 64 367
512 64 128 367
512 64 256 368
512 64 512 367
512 128 1 365
512 128 2 369
512 128 4 364
512 128 8 364
512 128 16 366
512 128 32 365
512 128 64 365
512 128 128 365
512 128 256 365
512 128 512 364
512 256 1 363
512 256 2 365
512 256 4 362
512 256 8 364
512 256 16 364
512 256 32 363
512 256 64 363
512 256 128 363
512 256 256 363
512 256 512 363
512 512 1 364
512 512 2 364
512 512 4 363
512 512 8 364
512 512 16 364
512 512 32 363
512 512 64 362
512 512 128 362
512 512 256 362
512 512 512 365
exhaustive search took 1040537 milliseconds to converge.
Best tile sizes: (32, 512, 128) with performance: 362 ms
